Name,Type,IOS,Android,Website,Price
Aria,Real Time Assistance,https://apps.apple.com/us/app/aira/id1071584352 ,https://play.google.com/store/apps/details?id=io.aira.smart&hl=en_US&gl=US,https://aira.io/download-and-try-it/,https://aira.io/pricing/
Be My Eyes,Real Time Assistance,https://apps.apple.com/app/apple-store/id905177575?pt=15492800&ct=BeMyEyesWebsite&mt=8,https://play.google.com/store/apps/details?id=com.bemyeyes.bemyeyes&referrer=utm_source%3Dbemyeyes%26utm_medium%3Dwebsite%26utm_campaign%3Dinstall,https://www.bemyeyes.com/,Free
Envision App,OCR,https://apps.apple.com/us/app/envision-ai/id1268632314,https://play.google.com/store/apps/details?id=com.letsenvision.envisionai,https://www.letsenvision.com/envision-app,Free
"Microsoft Soundscape
",,https://apps.apple.com/us/app/microsoft-soundscape/id1240320677?ls=1,,https://www.microsoft.com/en-us/research/product/soundscape/,Free
Libby,Reading,https://itunes.apple.com/us/app/libby-by-overdrive-labs/id1076402606?pt=211483&ct=meetLibby&mt=8,https://play.google.com/store/apps/details?id=com.overdrive.mobile.android.libby&referrer=utm_source%3Dmeet_libby,https://www.overdrive.com/apps/libby,Free
Scribd,Reading,https://itunes.apple.com/us/app/scribd-worlds-largest-online/id542557212?mt=8&uo=4&at=11lGEE,https://play.google.com/store/apps/details?id=com.scribd.app.reader0&hl=en,https://www.scribd.com/,10.99 pm
Seeing AI,OCR,https://itunes.apple.com/us/app/seeing-ai-talking-camera-for-the-blind/id999062298,,https://www.microsoft.com/en-us/ai/seeing-ai,free
TapTapSee,Image Recognition,https://itunes.apple.com/us/app/taptapsee/id567635020,https://play.google.com/store/apps/details?id=com.msearcher.taptapsee.android,https://taptapseeapp.com/,free
Dragon Anywhere,Dictation,https://apps.apple.com/us/app/dragon-anywhere-dictate-now/id1024652126,https://play.google.com/store/apps/details?id=com.nuance.dragonanywhere&hl=en_GB&gl=US,https://www.nuance.com/en-gb/dragon/dragon-anywhere.html,10.99 pm
Audible,Reading,https://itunes.apple.com/gb/app/audiobooks-from-audible/id379693831?pf_rd_p=b7810af7-f670-4d6c-b5d4-30d5dc462496&pf_rd_r=ZERM6ZE9C6SRG139KCEH#?platform=iphone,https://play.google.com/store/apps/details?id=com.audible.application&pf_rd_p=b7810af7-f670-4d6c-b5d4-30d5dc462496&pf_rd_r=ZERM6ZE9C6SRG139KCEH,https://www.audible.co.uk/,7.99 pm
Google Translate,Translation,https://apps.apple.com/gb/app/google-translate/id414706506,https://play.google.com/store/apps/details?id=com.google.android.apps.translate&hl=en_GB&gl=US,https://translate.google.co.uk/?hl=en&tab=TT,free
Moovit,Navigation,https://apps.apple.com/us/app/moovit-public-transit/id498477945%20class=,https://play.google.com/store/apps/details?id=com.tranzmate&hl=en-US%20class=,https://moovit.com/features/,Free
Evelity,Navigation (indoors & outdoors),https://apps.apple.com/app/evelity/id1457329183,https://play.google.com/store/apps/details?id=com.okeenea.evelity&hl=en&gl=US,https://www.evelity.com/en/,
Lookout - Assisted vision,OCR,,https://play.google.com/store/apps/details?id=com.google.android.apps.accessibility.reveal&hl=en_GB&gl=US,,free
AI Poly,OCR,https://itunes.apple.com/us/app/aipoly-vision-sight-for-blind-visually-impaired/id1069166437?mt=8,https://play.google.com/store/apps/details?id=com.aipoly.vision&hl=en_US,https://www.aipoly.com/,free
Roger Voice,CC Calls,https://apps.apple.com/ca/app/rogervoice/id1033113354,https://play.google.com/store/apps/details?id=com.rogervoice.app&hl=en_GB&gl=US,https://rogervoice.com/en/,https://rogervoice.com/en/pricing
Wheelmap,Navigation (indoors & outdoors),,,https://wheelmap.org/,free
Speechify,OCR,https://apps.apple.com/us/app/speechify-text-reader-news-pdf/id1209815023,https://play.google.com/store/apps/details?id=com.cliffweitzman.speechify2&hl=en_IN&gl=US,https://speechify.com/,
National Relay Service,,https://apps.apple.com/gb/app/relay-uk/id1483202788,https://play.google.com/store/apps/details?id=com.bt.relayuk,https://www.relayuk.bt.com/,free
Natural Reader,OCR,https://www.naturalreaders.com/appdownload.html,https://www.naturalreaders.com/appdownload.html,https://www.naturalreaders.com/,Free (paid options for aditional languages)
Navilens,,https://apps.apple.com/es/app/navilens/id1273704914?ign-mpt=uo%3D4,https://play.google.com/store/apps/details?id=com.neosistec.NaviLens&hl=es,https://www.navilens.com/en/,
BlindSquare,Navigation (indoors & outdoors),https://apps.apple.com/app/blindsquare/id500557255,,,
Lazarillo GPS for Blind,Navigation,https://itunes.apple.com/us/app/lazarillo-accesible-gps/id1139331874?mt=8,https://play.google.com/store/apps/details?id=com.lazarillo&hl=en,https://lazarillo.app/,
Zuzanka,Expiry Scanner,https://apps.apple.com/us/app/zuzanka/id6444279925,,,
